,NTA,Count,Male_Prct,Female_Prct,Med_Age,His_Prct,Wht_Prct,Blk_Prct,Asi_Prct,Emp_Prct,Med_Icm,Ins_Prct,Bl_Pvt_Prct,M_Mrg_Prct,F_Mrg_Prct,Bf_Hs_Prct,Af_Hs_Prct,Vtr_Prct,Dis_Prct,Citi_Prct
72,Great Kills,13662,0.491,0.509,41.5,0.098,0.84,0.003,0.051,0.052000000000000005,88868.0,0.945,0.08,0.588,0.54,0.08199999999999999,0.301,0.052000000000000005,0.10099999999999999,0.727
73,Greenpoint,15083,0.486,0.514,34.2,0.12300000000000001,0.777,0.018000000000000002,0.054000000000000006,0.051,67928.0,0.8109999999999999,0.125,0.39799999999999996,0.35,0.094,0.542,0.021,0.06,0.504
74,Grymes Hill-Clifton-Fox Hills,12341,0.441,0.5589999999999999,31.2,0.28800000000000003,0.27699999999999997,0.294,0.10800000000000001,0.066,52788.0,0.9059999999999999,0.209,0.41,0.32,0.19,0.292,0.024,0.08,0.503
75,Hamilton Heights,39206,0.48200000000000004,0.518,34.1,0.48,0.142,0.318,0.021,0.078,39019.0,0.818,0.28800000000000003,0.254,0.20199999999999999,0.263,0.317,0.019,0.124,0.465
76,Hammels-Arverne-Edgemere,23852,0.46399999999999997,0.536,34.8,0.251,0.17600000000000002,0.49700000000000005,0.040999999999999995,0.081,39432.0,0.884,0.26,0.353,0.244,0.255,0.192,0.04,0.16699999999999998,0.5920000000000001
77,Highbridge,27005,0.473,0.527,29.7,0.65,0.015,0.325,0.004,0.10400000000000001,23334.0,0.853,0.43,0.305,0.214,0.359,0.11199999999999999,0.027000000000000003,0.16699999999999998,0.40700000000000003
78,Hollis,9686,0.46,0.54,40.0,0.105,0.025,0.639,0.152,0.10300000000000001,59368.0,0.852,0.11599999999999999,0.405,0.34700000000000003,0.16899999999999998,0.23,0.035,0.11699999999999999,0.665
79,Homecrest,15006,0.483,0.517,35.3,0.073,0.787,0.009000000000000001,0.11199999999999999,0.053,47882.0,0.899,0.17800000000000002,0.56,0.516,0.156,0.345,0.026000000000000002,0.10300000000000001,0.652
80,Hudson Yards-Chelsea-Flatiron-Union Square,74480,0.51,0.49,36.6,0.14,0.631,0.061,0.131,0.051,101369.0,0.93,0.126,0.297,0.29600000000000004,0.059000000000000004,0.741,0.023,0.066,0.505
81,Hunters Point-Sunnyside-West Maspeth,34469,0.495,0.505,35.7,0.331,0.376,0.021,0.25,0.047,61736.0,0.784,0.142,0.419,0.41700000000000004,0.162,0.424,0.027000000000000003,0.071,0.429
82,Hunts Point,39163,0.48100000000000004,0.519,29.4,0.74,0.01,0.233,0.004,0.095,22572.0,0.8270000000000001,0.42700000000000005,0.239,0.19399999999999998,0.415,0.098,0.023,0.149,0.363
83,Jackson Heights,46533,0.502,0.498,37.9,0.5529999999999999,0.161,0.018000000000000002,0.239,0.061,48869.0,0.767,0.184,0.426,0.405,0.235,0.27399999999999997,0.018000000000000002,0.077,0.48
84,Jamaica,48131,0.493,0.507,35.2,0.369,0.038,0.18600000000000003,0.302,0.08900000000000001,39763.0,0.7879999999999999,0.245,0.473,0.41,0.324,0.193,0.016,0.107,0.488
85,Jamaica Estates-Holliswood,9400,0.447,0.5529999999999999,42.0,0.162,0.228,0.252,0.307,0.043,65504.0,0.89,0.128,0.555,0.43700000000000006,0.136,0.441,0.036000000000000004,0.1,0.716
86,Kensington-Ocean Parkway,10512,0.495,0.505,32.6,0.162,0.498,0.069,0.233,0.046,45483.0,0.8420000000000001,0.254,0.525,0.47600000000000003,0.192,0.376,0.013000000000000001,0.099,0.551
